Category,Checklist Item,Owner,Status,Evidence Link,Score (0-2),Weighted Score,Weight %,Comments
Commercial readiness,Offer name scope assumptions exclusions approved,Practice Lead,Not Started,,0,0,15,
Commercial readiness,Fixed price or fixed bucket pricing defined,Practice Lead,Not Started,,0,0,15,
Commercial readiness,SOW template and delivery timeline available,Delivery Manager,Not Started,,0,0,15,
Technical readiness,Baseline end to end execution validated on customer-like data,AI/App Engineer,Not Started,,0,0,15,
Technical readiness,At least one partner-specific classification calibration completed,Lead Architect,Not Started,,0,0,15,
Technical readiness,Output format aligned to partner delivery standards,Lead Architect,Not Started,,0,0,15,
Quality readiness,Review rubric documented and in active use,Lead Architect,Not Started,,0,0,15,
Quality readiness,Architect sign-off gate enforced in workflow,Delivery Manager,Not Started,,0,0,15,
Quality readiness,Rework loop and defect logging process defined,Delivery Manager,Not Started,,0,0,15,
Operational readiness,Named owner for platform maintenance assigned,Practice Lead,Not Started,,0,0,10,
Operational readiness,Named owner for methodology updates assigned,Practice Lead,Not Started,,0,0,10,
Operational readiness,Runbook for common failures and data issues available,AI/App Engineer,Not Started,,0,0,10,
Go to market readiness,Internal demo storyline validated,Pre-Sales Lead,Not Started,,0,0,15,
Go to market readiness,Sales FAQ and qualification checklist prepared,Pre-Sales Lead,Not Started,,0,0,15,
Go to market readiness,First pilot customer identified and scheduled,Account Team,Not Started,,0,0,15,
Scoring guidance,0 = not started,All,Info,,0,0,0,
Scoring guidance,1 = partially complete,All,Info,,0,0,0,
Scoring guidance,2 = complete and approved,All,Info,,0,0,0,
Rollup,Readiness % formula suggestion in spreadsheet,PMO,Info,Use: SUM(Weighted Score)/SUM(Weight %*2),0,0,0,
Rollup,Go/No-Go threshold recommendation,Practice Lead,Info,Recommended threshold >= 80%,0,0,0,
